"序号","项目编号","货号","检测服务产品名称/检测内容","签收要求","审核要求","流转要求","流转数量","备注"
"73","RSPM2022012","LK167","燃石朗清®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","路径a","/","/"
"74","RSPM2022036","LK103","朗康®组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、筛选期（子宫内膜癌队列）：路径a
2、筛选期（非子宫内膜癌队列）：暂存等通知","≤10张","/"
"75","RSPM2022033","LK291","OncoScreen® Plus组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","筛选期：路径a；","≤10张","/"
"76","RSPM2022033","LK292","OncoCompass® Plus血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","1、筛选期：路径a
2、探索性研究：路径b","/","/"
"77","RSPS2025002","LK309","OncoScreen® Plus组织版","/","切片：
N＞10张，合格需反馈
N≤2张，不合格","路径a","≤10张","/"
"78","RSPM2022022","LK291","OncoScreen® Plus组织版","/","切片：
N＞8张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤8张","/"
"79","RSPM2022025","LK262","燃石朗克® CDx组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
N≤8张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"80","RSPM2022003","LK291","OncoScreen® Plus组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","1、穿刺切片：≤10张
2、手术切片：≤5张","/"
"81","RSPM2022003","LK292","OncoCompass® Plus血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","路径a","/","/"
"82","RSPM2022013","LK521","OncoScreen® WES","/","一、切片（仅检测LK521）：
N＞10张，合格需反馈
穿刺切片：
5张≤N＜10张，警戒
N＜5张，不合格
手术切片：
2张≤N＜5张，警戒
N＜2张，不合格
二、切片（检测LK521、LK021和LK170）：
N＞20张，合格需反馈
穿刺切片：
12张≤N＜15张，警戒
N＜12张，不合格
手术切片：
2张≤N＜7张，警戒
N＜2张，不合格
三、组织样本共用要求：LK521、LK021和LK170共用样本
四、全血：
N＞2管，不合格
8ml≤M＜16ml且N≤2管，警戒
M＜8ml，不合格
五、血液样本若未标记受试者编号，反馈并暂停","1、切片：
基线期：路径a
筛选期：路径b
备注有“手术后组织样本，仅保存，暂无检测项目”：暂存等通知
2、全血：
检测申请单EGFR状态未知：路径b
检测申请单EGFR状态阳性：路径a","1、切片（仅检测LK521）：≤10张
2、切片（检测LK521+LK021+LK170）：≤20张
3、全血：≤2管
","/"
"83","RSPM2022013","LK021","EGFR","/","一、切片：
N＞20张，合格需反馈
穿刺切片：
12张≤N＜15张，警戒
N＜12张，不合格
手术切片：
2张≤N＜7张，警戒
N＜2张，不合格
二、组织样本共用要求：LK521、LK021和LK170共用样本","筛选期：路径a","≤20张","/"
"84","RSPM2022013","LK522","朗微®-MRD","/","一、全血：
N＞2管，不合格
8ml≤M＜16ml且N≤2管，警戒
M＜8ml，不合格
二、样本若未标记受试者编号，反馈并暂停","1、基线期，检测申请单EGFR状态未知：路径b
2、基线期，检测申请单EGFR状态阳性：路径a
3、非基线期：路径a","≤2管","/"
"85","RSPS2022004","LK291","OncoScreen® Plus组织版","/","一、切片：
N＞15张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、温控要求：10℃~30℃","1、筛选期：路径a
2、其余访视节点：暂存等通知","≤15张","/"
"86","RSPS2022004","LK167","燃石朗清®血浆版","/","一、全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格
二、温控要求：10℃~30℃","1、筛选期：路径a
2、其余访视节点：暂存等通知","/","/"
"87","RSPS2022004","LK106","燃石朗清® CDx血浆版","/","一、全血：
M≤5ml，不合格
二、温控要求：10℃~30℃","1、筛选期：路径a
2、其余访视节点：暂存等通知","/","/"
"88","RSPS2022006","LK291","OncoScreen® Plus组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、CTA入排：路径a
2、探索性研究&Local入组：暂存等通知","≤10张","/"
"89","RSPS2022006","LK167","燃石朗清®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","1、CTA入排：路径a
2、探索性研究&Local入组：暂存等通知","/","/"
"90","RSPM2022009","LK297","OncoScreen® Plus CDx组织版","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
N≤8张，不合格
手术切片：
N≤2张，不合格
二、全血：
M＜0.2ml，不合格","路径a","切片：≤10张","/"
"91","RSPS2021016","LK167","燃石朗清®血浆版","/","一、全血：
T＞3d，合格需反馈
2ml＜M＜6ml，警戒
M≤2ml，不合格
二、申请单审核时如出现以下情况，反馈后继续流转：
（1）样本类型、访视节点未勾选
（2）取样时间、出生日期、临床诊断等未填写
（3）送检人信息（姓名、电话、邮箱等）模糊","路径a","/","/"
"92","RSPS2022001","LK513","myChoice HRD Plus","由实验室贴M码","切片：
N＞15张，合格需反馈
N＜6张，不合格","路径a","≤15张","/"
"93","RSPS2021018","LK262","燃石朗克® CDx组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
N＜5张，不合格
手术切片：
N＜2张，不合格","1、筛选期：路径a
2、其余访视节点：暂存等通知","≤10张","/"
"94","RSPS2021018","LK106","燃石朗清® CDx血浆版","/","一、全血：
M＜5ml，不合格
二、温控要求：15℃~25℃","1、筛选期：路径a
2、其余访视节点：暂存等通知","/","/"
"95","RSPS2021018","LK101","燃石朗克®组织版","/","一、胸水：
X≤3ml，不合格
二、温控要求：15℃~25℃","1、筛选期：路径a
2、其余访视节点：暂存等通知","/","/"
"96","RSPS2021007","LK262","燃石朗克® CDx组织版","/","一、切片：
N＞15张，合格需反馈
穿刺切片：
N＜5张，不合格
手术切片：
N＜3张，不合格
二、温控要求：10℃~30℃","1、备注为II期：路径a
2、其他：暂存等通知","≤15张","/"
"97","RSPS2021007","LK170","燃石朗清®组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
N＜5张，不合格
手术切片：
N＜3张，不合格","1、备注为II期：路径a
2、其他：暂存等通知","≤10张","/"
"98","RSPS2021004","LK294","OncoScreen® Plus CDx组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
N＜5张，不合格
手术切片：
N＜2张，不合格","路径a","≤10张","/"
"99","RSPS2020017","LK291","OncoScreen® Plus组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、I期（需双提）、II期Cohort2、Cohort4、Cohort5：暂存等通知
2、Ⅱ期Cohort1：需双提：
勾选LK601：LK291路径b，LK601路径a
勾选LK291：LK291路径a，LK601路径b","1、I期、II期Cohort1样本需双提：≤10张
2、Ⅱ期Cohort2、Cohort4、Cohort5：
穿刺样本：≤10张
手术样本：5张","/"
"100","RSPS2020017","LK601","OncoRNA","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、I期需双提：暂存等通知
2、Ⅱ期Cohort1：需双提：
勾选LK601：LK291路径b，LK601路径a
勾选LK291：LK291路径a，LK601路径b","≤10张","/"
"101","RSPM2025042","LK101","燃石朗克®组织版","/","切片：
N＞5张，合格需反馈
穿刺切片：
N≤4张，不合格
手术切片：
N≤2张，不合格","路径a","1、穿刺切片：5张
2、手术切片：≤5张","/"
"102","RSPM2025043","LK291","OncoScreen® Plus组织版","/","一、切片：
N＞10张，不合格
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、温控要求：0℃-30℃","路径a","≤10张","/"
"103","RSPM2025015","LK291","OncoScreen® Plus组织版","/","一、Pre-SCRNTS筛选期切片：
N＞15张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、PR/PD探索性切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、国内样本：
“是”出报告：路径a
“否”出报告：暂存等通知
2、国外样本：暂存等通知","1、（Pre-）SCRNTS筛选期组织：≤15张
2、PR/PD探索性组织：≤10张","/"
"104","RSPM2025015","LK292","OncoCompass® Plus血浆版","/","/","1、国内样本：
“是”出报告：路径a
“否”出报告：路径b
2、国外样本：暂存等通知","/","/"
"105","RSPS2020010","LK291","OncoScreen® Plus组织版","/","/","1、疾病进展期：路径a
2、基线期：路径b","/","无SSP"
"106","RSPS2020010","LK167","燃石朗清®血浆版","/","/","1、疾病进展期：路径a
2、基线期：路径b","/","无SSP"
"107","RSPL2021003","LK021","EGFR","/","/","路径a","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"108","RSPL2021003","LK081","EGFR-ddPCR","/","/","1、组织：路径a
2、全血：路径b","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"109","RSPL2021003","LK170","燃石朗清®组织版","/","/","路径a","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"110","RSPL2021004","LK021","EGFR","/","/","路径a","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"111","RSPL2021004","LK081","EGFR-ddPCR","/","/","1、组织：路径a
2、全血：路径b","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"112","RSPL2021004","LK170","燃石朗清®组织版","/","/","路径a","1、穿刺切片：10张
2、手术切片：5张","无SSP"
"113","RSPM2025022","LK294","OncoScreen® Plus CDx组织版","1、由实验室贴M码
2、查询微文档是否有指定M码
3、申请单研究编号为D6187C00001
4、LK294与LK340共用样本，贴2个M码","一、切片：
N＞10张，合格需反馈
N＜2张，不合格
二、组织样本共用要求：LK294和LK340共用样本
三、申请单审核如有以下情况，反馈并暂停：
（1）访视节点不是PROSPECTIVEAGASLIDES或PROSPECTIVEAGASLIDESTOBR
（2）癌种非肺癌
（3）是否出具报告：否
四、无需反馈情况：
（1）申请单RequisitionCompletedTime：00:01，系统默认不录入；
（2）申请单SpecimenType：UnstainedSlides，系统默认录入为切片","1、需双提
2、路径a
3、有邮件通知，则按通知要求","≤10张","/"
"114","RSPM2025044","LK170","燃石朗清®组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"115","RSPM2025044","LK167","燃石朗清®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","路径a","/","/"
"116","RSKY2023065","LK335","全转录组测序(WTS)","/","/","1、销售备注“转移灶”：路径a
2、其他：路径b","/","无SSP"
"117","RSPM2025031","LK101","燃石朗克®组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺、内窥镜等非手术切除获取的切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、到位即检：路径a
2、批量检测：暂存等通知","≤10张","/"
"118","RSPM2025031","LK167","燃石朗清®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","1、到位即检：路径a
2、批量检测：路径b","/","/"
"119","RSPM2025051","LK170","燃石朗清®组织版","/","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、探索研究：暂存等通知
2、主研究或主研究&探索研究：路径a","≤10张","/"
"120","RSTL2021023","LK522","朗微®-MRD","/","不卡控知情","路径a","/","/"
"121","RSPM2025056","LK340","捕获转录组测序(Capture-WTS)","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、组织样本共用要求：LK521和LK340共用1张HE片；DNA和RNA需要双提","路径a","≤10张","/"
"122","RSPM2025056","LK521","OncoScreen® WES","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、组织样本共用要求：LK521和LK340共用1张HE片；DNA和RNA需要双提
三、全血：
N＞1管，不合格
M＜8ml，不合格","路径a","切片：≤10张","/"
"123","RSPM2025056","LK522","朗微®-MRD","/","全血：
N＞1管，不合格
M＜8ml，不合格","路径a","/","/"
"124","RSPM2025058","LK167","燃石朗清®血浆版","/","一、全血：
M＜6ml，不合格
二、温控要求：15℃~25℃","路径a","/","/"
"125","RSPM2025058","LK170","燃石朗清®组织版","/","一、切片：
N＞10张，不合格
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"126","RSPM2025062","LK167","燃石朗清®血浆版","/","一、全血：
M＜6ml，不合格
二、温控要求：常温
三、审核要求：是否出具报告以系统上录入为准","路径a","/","/"
"127","RSPM2025063","LK118","燃石馥康®组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、申请单“NGS 检测目的”为单例检测：路径a
2、申请单“NGS 检测目的”为批量检测：暂存待通知","≤10张","/"
"128","RSPM2025063","LK206","燃石馥康®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","1、申请单“NGS 检测目的”为单例检测：路径a
2、申请单“NGS 检测目的”为批量检测：路径b","/","/"
"129","RSPS2025003","LK308","OncoScreen® Plus组织升级版","/","一、切片：
N＞20张，合格需反馈
穿刺切片：
10张＜N＜16张，警戒
N≤10张，不合格
手术切片：
N≤4张，不合格
二、新鲜组织/蜡块/冰冻组织：
三、温控要求：
切片、蜡块、新鲜组织：6℃~30℃
DNA、冰冻组织、全血：干冰","1、单例：路径a
2、批量送检：暂存等通知
3、无需病理评估","≤20张","/"
"130","RSPS2025003","LK291","OncoScreen® Plus组织版","/","温控要求：
DNA、全血、白细胞：干冰","1、单例：路径a
2、批量送检：暂存等通知","/","/"
"131","RSPS2025001","LK305","OncoScreen® ParpMatch Pro CDx组织版","1、由实验室贴M码
2、查询微文档是否有指定M码","一、切片：
N含空白玻片或HE片，反馈并暂停
N＞20张，不合格，反馈后流转
N＜20张，不合格
二、样本上受试者筛选号（E-code）和样本标记信息（AccessionNo.）两者任一缺少，反馈并暂停
三、申请单审核如有以下情况，反馈并暂停：
（1）样本随附申请单非原件
（2）申请单预打印信息出现手动修改，包括有样本标记信息（AccessionNo.）、E-code码、研究编号、项目编号
（3）切片厚度未勾选或勾选其他并填写＜4μm
（4）申请单ConfirmSampleisFormalinFixedandParaffnEmbedded(FFPE)选择Yes时，Fixativeused非Formalin，
（5）患者年龄＜18岁","路径a","20张","/"
"132","RSPS2019007","LK165","燃石朗克®血浆版","/","/","路径a","/","无SSP"
"133","RSPS2019007","LK291","OncoScreen® Plus组织版","/","/","路径a","/","无SSP"
"134","RSKY2021004","LK170","燃石朗清®组织版","/","/","路径a","/","/"
"135","RSKY2021004","LK167","燃石朗清®血浆版","/","/","1、基线：路径a；
2、随访：路径b","/","/"
"136","RSKY2022021","LK170","燃石朗清®组织版","/","/","路径a","/","/"
"137","RSKY2022021","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"138","RSKY2022021","LK167","燃石朗清®血浆版","/","/","1、出报告：路径a
2、不出报告：路径b","/","/"
"139","RSKY2022023","LK522","朗微®-MRD","/","不卡控知情","路径a","/","/"
"140","RSPM2025072","LK309","OncoScreen® Plus组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"141","RSPM2025073","LK311","OncoCompass® Plus血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","路径a","/","/"
"142","RSKY2024028","LK521","OncoScreen® WES","/","/","路径a","/","/"
"143","RSKY2024028","LK522","朗微®-MRD","/","肺泡灌洗液：系统按血浆录入","1、肺泡灌洗液：路径a
2、血浆：路径b","/","/"
"144","RSKY2025022","LK521","OncoScreen® WES","/","不卡控知情","路径a","/","/"
